source_measurement_id,pmcid,paper_title,year,measurement_type,pH,value_std,value_unit_std,enzyme_name,uniprot_accession,exclusion_rules,exclusion_rule_names,reason,evidence_quote
BM3A1A41F1DA,PMC13220297,Immobilization of an Invertase Produced by a Bacterium Isolated from the Peach Palm Fruit (&lt;i&gt;Bactris gasipaes&lt;/i&gt;): Influence of the Support Material and Biochemical Characterization.,2026,pH stability,6.5,6.5,pH,,,PH-X6,off_target_enzyme_class,"Invertase (beta-fructofuranosidase, a glycoside hydrolase) immobilised on a PHB carrier. The polymer is the support, not the substrate.","The enzyme immobilized on PHB demonstrated greater stability at pH values between 5.0 and 6.0, whereas at pH 4.5 and pH 6.5, it retained approximately 50% of its activity."
BM3A4FF0E21E,PMC9772341,Sourcing thermotolerant poly(ethylene terephthalate) hydrolase scaffolds from natural diversity.,2022,salt effect,6.0,2.9,% relative activity,,,PH-X1;PH-X9,methods_or_protocol_sentence;measurement_type_unsupported,"value_std 2.9 '% relative activity' was parsed from '2.9% loading by mass of amorphous PET film' -- a substrate loading, not an activity. Unit misparse.","For enzymes with peak activity at pH 6.0, an extended pH screening assay was performed using 2.9% loading by mass of amorphous PET film (Goodfellow) and 10 µg enzyme of interest (0.7 mg enzyme/g PET enzyme loading) in polypropylene tubes containing 100 mM NaCl and 50 mM citrate (pH 5.5 and pH 5.0) or 50 mM sodium acetate (pH 5.0 and pH 4.5)."
BM43A7E54ACA,PMC12896513,Cloning and Characterization of GDSL Esterases from &lt;i&gt;Bacillus paralicheniformis&lt;/i&gt; T7.,2026,thermostability,7.0,40.0,degrees Celsius,,,PH-X1,methods_or_protocol_sentence,'The residual activity was then measured at 40 deg C in 50 mM sodium phosphate (pH 7.0)' is the assay readout condition. Recorded as thermostability = 40 deg C.,The residual activity was then measured at 40 °C in 50 mM sodium phosphate-buffered solution (pH 7.0).
BM44DA9B1565,PMC13050008,Biocatalytic ulvan degradation by Pseudoalteromonas marina: exploring a marine polysaccharide bioconversion system.,2026,pH optimum,8.0,8.0,pH,,,PH-X6;PH-X4,off_target_enzyme_class;ambiguous_multi_enzyme,"Ulvan lyase -- a polysaccharide lyase, not a carboxylester hydrolase. 'all three ulvan lyases' is also unattributable.","Regarding pH optimization, all three ulvan lyases displayed maximum activity at pH 8.0 in 50 mM Tris-HCl buffer, indicating a preference for slightly alkaline conditions (Fig."
BM47946FE1B3,PMC12428281,Identification and Characterization of a Novel Di-(2-ethylhexyl) Phthalate Hydrolase from a Marine Bacterial Strain &lt;i&gt;Mycolicibacterium phocaicum&lt;/i&gt; RL-HY01.,2025,thermostability,3.0,4.0,degrees Celsius,,,PH-X9,measurement_type_unsupported,"4 deg C is the incubation temperature of a pH-stability experiment, recorded as a thermostability measurement of 4 deg C.","After incubation at 4 °C under different pH for 1 h, the activity of DehpH decreased significantly under acid conditions (pH 3.0 to 6.0), and DehpH almost lost all of its activity under pH 3.0, while DehpH retained more than 70.0% residual activity under pH 7.0 to 9.0 (Figure 4B)."
BM488F8758D1,PMC8265113,Characterization of glycoside hydrolase family 11 xylanase from Streptomyces sp. strain J103; its synergetic effect with acetyl xylan esterase and enhancement of enzymatic hydrolysis of lignocellulosi,2021,temperature optimum,5.0,55.0,degrees Celsius,,,PH-X6;PH-X1,off_target_enzyme_class;methods_or_protocol_sentence,"rXynS1 is a GH11 xylanase (glycoside hydrolase), off-target; and pH 5.0 is the assay pH ('assayed at pH 5.0'), not an optimum.","3a). rXynS1 showed optimal activity at 55 °C (assayed at pH 5.0), with the enzyme still displaying over 80% of its activity in the temperature range of 50–60 °C (Fig."
BM4EE39ACAFC,PMC7936011,A novel esterase from a soil metagenomic library displaying a broad substrate range.,2021,pH stability,7.0,7.0,pH,,,PH-X1,methods_or_protocol_sentence,"'the pre-incubated solution was regulated to pH 7.0 ... and analyzed for residual activity' -- the readout pH of the stability assay, not a stability result.",Then the pre-incubated solution was regulated to pH 7.0 with 500 mM phosphate buffer and analyzed for the residual activity.
BM4FD5205F58,PMC12896513,Cloning and Characterization of GDSL Esterases from &lt;i&gt;Bacillus paralicheniformis&lt;/i&gt; T7.,2026,pH stability,7.0,7.0,pH,,,PH-X1,methods_or_protocol_sentence,"Same methods sentence, recorded as pH stability = 7.0. pH 7.0 is the readout buffer.",The residual activity was then measured at 40 °C in 50 mM sodium phosphate-buffered solution (pH 7.0).
BM539CC031EB,PMC12871986,Biodegradation of polyethylene terephthalate microplastics by Paenibacillus naphthalenovorans PETKKU2: Response surface optimization and genomic evidence for an alternative degradation mechanism.,2026,pH optimum,7.5,7.5,pH,,,PH-X5,model_predicted_value,"'The MODEL PREDICTED maximum biodegradation at pH 7.5' -- an RSM optimisation output, and about whole-cell biodegradation rather than an enzyme. Shipping it would breach the benchmark's own no-predicted-values integrity statement.","The model predicted maximum biodegradation at pH 7.5, 1.25 g/L NH₄NO₃, and 0.55% PET-MP, achieving 11.15% efficiency compared to 6.09% under non-optimized conditions (pH 7.0, 1.0 g/L NH₄NO₃, 1.0% PET-MP)."
BM5B4789AA54,PMC8265113,Characterization of glycoside hydrolase family 11 xylanase from Streptomyces sp. strain J103; its synergetic effect with acetyl xylan esterase and enhancement of enzymatic hydrolysis of lignocellulosi,2021,pH optimum,5.0,5.0,pH,,,PH-X6;PH-X1,off_target_enzyme_class;methods_or_protocol_sentence,Same GH11 xylanase article.,"3a). rXynS1 showed optimal activity at 55 °C (assayed at pH 5.0), with the enzyme still displaying over 80% of its activity in the temperature range of 50–60 °C (Fig."
BM60E20E768C,PMC12766730,Controlled Self-Immolative Release of β-Lapachone via an Optimized &lt;i&gt;para&lt;/i&gt;-Hydroxybenzyl Linker for Targeted Pancreatic Cancer Therapy.,2025,pH stability,5.0,5.0,pH,,,PH-X6,off_target_enzyme_class,"'half-life of quinone release ... at pH 5' -- self-immolative linker chemistry, no enzyme.",The half-life of quinone release was decreased from 101 ± 7 h for 4 to 1.86 ± 0.06 h for 25 at pH 5.
BM6A82469C45,PMC10495362,An archaeal lid-containing feruloyl esterase degrades polyethylene terephthalate.,2023,temperature optimum,6.0,60.0,degrees Celsius,PET46,RLI42440.1,PH-X7;PH-X3,secondhand_or_review;enzyme_attribution_mismatch,"Same secondhand sentence, temperature axis.","In their study, the PET46-like 211 released up to 85.23 mg L−1 aromatic products from crystalline PET powder at 60 °C and pH6 (optimal conditions)."
BM71030D2A05,PMC11651597,Characterization of a novel subfamily 1.4 lipase from Bacillus licheniformis IBRL-CHS2: Cloning and expression optimization.,2024,pH stability,7.0,7.0,pH,,AOT80658.1,PH-X1,methods_or_protocol_sentence,"Normalisation sentence: 'activity at pH 7 was set as 100% ... for pH stability the activity without pre-incubation was set at 100%'. Defines the assay baseline, not a measured outcome. The optimum it implies is captured by the corrected BMDFDCB2C50A.","Specific lipase activity at pH 7 was set as 100% (321.2 U/mg) for optimum pH while for pH stability, the activity of lipase without pre-incubation (325.7 U/mg) was set at 100%."
BM7D11018C05,PMC9839772,Improving the activity and thermostability of PETase from Ideonella sakaiensis through modulating its post-translational glycan modification.,2023,pH stability,8.0,8.0,pH,PETase,,PH-X1,methods_or_protocol_sentence,"'the enzyme was incubated in 1 mL of 100 mM KH2PO4 buffer (pH 8.0) at 50, 55, 60, 65 and 70 deg C ... followed by determining the residual activity' -- pH 8.0 is the buffer of a thermostability protocol.","Next, 0.4 mg of the enzyme was incubated in 1 mL of 100 mM KH2PO4 buffer (pH 8.0) at 50, 55, 60, 65 and 70 °C for 3, 6, 9, and 12 h, followed by determining the residual activity."
BM7EDDB0F663,PMC12896513,Cloning and Characterization of GDSL Esterases from &lt;i&gt;Bacillus paralicheniformis&lt;/i&gt; T7.,2026,pH stability,7.0,7.0,pH,,,PH-X1;PH-X10,methods_or_protocol_sentence;duplicate_measurement,Second copy of the same methods statement ('residual activity measured in 50 mM sodium phosphate buffer at pH 7.0'); duplicate of BM4FD5205F58 and equally unusable.,The residual activity was then measured in 50 mM sodium phosphate buffer at pH 7.0.
BM800815CC90,PMC13316681,Archaea-driven bioremediation of polyolefins and polyesters in extreme environments.,2026,pH stability,5.0,5.0,pH,IsPETase,RLI42440.1,PH-X11;PH-X7;PH-X3,garbled_table_extraction;secondhand_or_review;enzyme_attribution_mismatch,Same garbled review table cell.,"BHET, MHET oligomers; feruloyl estersComparable PET powder hydrolysis to wild-type bacterial IsPETase and LCC; higher activity on BHET and MHET than on polymer70 °C/broad pH 5–8; thermostable at 60 °C for prolonged incubationUnique flexible lid domain (three α-helices, two anti-parallel β-strands) enhances substrate binding;"
BM85EC0EEFF2,PMC11270687,Characterization of Potential Plastic-Degradation Enzymes from Marine Bacteria.,2024,pH optimum,7.5,7.5,pH,,,PH-X4,ambiguous_multi_enzyme,'The optimal activity was at pH 7.5 (Figure S3C)' -- the sentence has no enzyme subject at all and the article characterises several marine-bacterial enzymes.,The optimal activity was at pH 7.5 (Figure S3C).
BM9DD54D4438,PMC10146679,Rational Design of Disulfide Bridges in <i>Bb</i>PETase<sup>CD</sup> for Enhancing the Enzymatic Performance in PET Degradation.,2023,thermostability,7.0,30.0,degrees Celsius,PETase,,PH-X9,measurement_type_unsupported,"'activity increased from 30 deg C to 40 deg C' -- 30 is a profile boundary, not a thermostability value.","At pH 7.0, the activity of BbPETaseCD increased from 30 °C to 40 °C, and then decreased when the temperature increased to 50 °C, indicating the poor stability of BbPETaseCD at high temperature."
BMAD704A1BA4,PMC10146679,Rational Design of Disulfide Bridges in <i>Bb</i>PETase<sup>CD</sup> for Enhancing the Enzymatic Performance in PET Degradation.,2023,thermostability,7.0,40.0,degrees Celsius,PETase,,PH-X9,measurement_type_unsupported,Same sentence; 40 is the other profile boundary.,"At pH 7.0, the activity of BbPETaseCD increased from 30 °C to 40 °C, and then decreased when the temperature increased to 50 °C, indicating the poor stability of BbPETaseCD at high temperature."
BMB86BE59C99,PMC12115826,Heterologous Overexpression of Cytochrome P450BM3 from &lt;i&gt;Bacillus megaterium&lt;/i&gt; and Its Role in Gossypol Reduction.,2025,temperature optimum,5.0,30.0,degrees Celsius,,,PH-X6,off_target_enzyme_class,"Cytochrome P450BM3 monooxygenase degrading gossypol, a plant polyphenol. Neither the enzyme class nor the substrate is in scope.","The optimal conditions for gossypol degradation were found to be 30 °C, pH 5.0, and 90 min."
BMC0FC218AB8,PMC13220297,Immobilization of an Invertase Produced by a Bacterium Isolated from the Peach Palm Fruit (&lt;i&gt;Bactris gasipaes&lt;/i&gt;): Influence of the Support Material and Biochemical Characterization.,2026,pH stability,4.5,4.5,pH,,,PH-X6,off_target_enzyme_class,Same invertase article.,"The enzyme immobilized on PHB demonstrated greater stability at pH values between 5.0 and 6.0, whereas at pH 4.5 and pH 6.5, it retained approximately 50% of its activity."
BMC3719577E5,PMC9839772,Improving the activity and thermostability of PETase from Ideonella sakaiensis through modulating its post-translational glycan modification.,2023,thermostability,8.0,70.0,degrees Celsius,PETase,,PH-X1,methods_or_protocol_sentence,"Same methods sentence; 70 deg C is the highest temperature tested, recorded as a thermostability value.","Next, 0.4 mg of the enzyme was incubated in 1 mL of 100 mM KH2PO4 buffer (pH 8.0) at 50, 55, 60, 65 and 70 °C for 3, 6, 9, and 12 h, followed by determining the residual activity."
BMC71D9F94EF,PMC10385968,Enzymatic Characterization of a Novel HSL Family IV Esterase EstD04 from <i>Pseudomonas</i> sp. D01 in Mealworm Gut Microbiota.,2023,pH optimum,8.0,8.0,pH,,,PH-X10,duplicate_measurement,"pH optimum 8.0 for EstD04 restated in the kinetics sentence -- same enzyme, paper, type and value as BMBE4B247046, which comes from the direct statement.","By using the optimal conditions for its function, we analyzed the kinetics of EstD04 for the hydrolysis of C4 substrates at 40 °C and pH 8."
BMDDBDC51F4A,PMC12115826,Heterologous Overexpression of Cytochrome P450BM3 from &lt;i&gt;Bacillus megaterium&lt;/i&gt; and Its Role in Gossypol Reduction.,2025,pH optimum,5.0,5.0,pH,,,PH-X6,off_target_enzyme_class,Same P450/gossypol article.,"The optimal conditions for gossypol degradation were found to be 30 °C, pH 5.0, and 90 min."
BME732B05FC1,PMC10003648,Polymer-Degrading Enzymes of <i>Pseudomonas chloroaphis</i> PA23 Display Broad Substrate Preferences.,2023,pH stability,5.0,5.0,pH,,P26495,PH-X3,enzyme_attribution_mismatch,"Accession P26495 is PhaZ, but the evidence sentence is about LIP4: 'LIP4 retained more activity (>80%) at pH 5.0-6.0'. A tier-A sequence misattribution -- the worst class of defect a benchmark can carry.","However, LIP4 retained more activity (>80%) atpH 5.0–6.0 compared with activity at an alkaline pH 8.0–10.0 (<40%)."
BMEEB3F89D6F,PMC10599323,Accelerating the Biodegradation of Poly(lactic acid) through the Inclusion of Plant Fibers: A Review of Recent Advances.,2023,pH stability,6.5,6.5,pH,,,PH-X7,secondhand_or_review,'The AUTHORS FOUND that the pH of the solution dropped ...' in a review article; restates another study's observation.,"The authors found that the pH of the solution dropped during degradation due to lactic acid formation; enzyme denaturization occurred below pH 6.5, impeding further degradation until the solution was refreshed."
BMEF46DA6C6C,PMC13316681,Archaea-driven bioremediation of polyolefins and polyesters in extreme environments.,2026,thermostability,5.0,70.0,degrees Celsius,IsPETase,RLI42440.1,PH-X11;PH-X7;PH-X3,garbled_table_extraction;secondhand_or_review;enzyme_attribution_mismatch,Same garbled review table cell.,"BHET, MHET oligomers; feruloyl estersComparable PET powder hydrolysis to wild-type bacterial IsPETase and LCC; higher activity on BHET and MHET than on polymer70 °C/broad pH 5–8; thermostable at 60 °C for prolonged incubationUnique flexible lid domain (three α-helices, two anti-parallel β-strands) enhances substrate binding;"
BMFE76762A46,PMC10927764,New combined absorption/<sup>1</sup>H NMR method for qualitative and quantitative analysis of PET degradation products.,2024,pH optimum,3.54,3.54,pH,,,PH-X8,analytical_method_pH,"pH 3.54 is the buffer of an absorption/1H-NMR quantification method for TPA, not an enzyme assay condition.","Since TPA constitutes an important part of the degradation products, the optimal conditions for the measurement of the mixture were the buffer with pH 3.54 in combination with freeze or heat drying, as the sensitivity was very high for the 3 products in this case."
