source_measurement_id,pmcid,original_measurement_type,original_pH,original_value_std,verdict,rules,rule_names,note,evidence_quote
BM22F8594502,PMC10146132,pH stability,6.0,6.0,KEEP,PH-C2;PH-C3;PH-C5;PH-C6;PH-C7,type_reclassified;outcome_recovered;enzyme_named;range_bounds_set;direction_set,"'A pH of 6.0~10.0 had good stability ... more than 60%' is a coarse range summary that the same article contradicts with 'when pH 10.0, less than 50% retained' (BM7E8AC1F540). Kept as a range row, flagged internal_conflict, NOT scored.","A pH of 6.0~10.0 had good stability, the retained enzyme activity was more than 60%, and pH 8.0, the best stability of enzyme activity, could retain about 80% of enzyme activity."
BM2646680E59,PMC9772341,pH optimum,6.0,6.0,EXCLUDE,PH-X4,ambiguous_multi_enzyme,"'the four enzymes that exhibited optimal or near optimal activity at pH 6.0 (102, 611, 702, 715)' -- four distinct enzymes collapsed into one unattributed row.","For the four enzymes that exhibited optimal or near optimal activity at pH 6.0 (102, 611, 702, 715), we further extended the pH screen."
BM310A734B15,PMC7936011,pH optimum,7.0,7.0,EXCLUDE,PH-X1;PH-X10,methods_or_protocol_sentence;duplicate_measurement,"Same methods sentence; pH 7.0 is the assay buffer, recorded as a pH optimum. The real optimum for Tan410 is captured by BM5BBF965026.",The optimum temperature for esterase activity of Tan410 was assayed by incubating the enzyme in 50 mM phosphate buffer (pH 7.0) at different temperatures in a range of 25–65 °C.
BM31C0BAD528,PMC4624153,thermostability,4.0,55.0,KEEP,PH-C5,enzyme_named,Covariate row: genuine thermostability statement (stable 1 h at 55 deg C) assayed at pH 4.0.,"The enzyme was stable at pH 4.0, 5.0 and 6.0 and 55 °C for 1 h with a residual activity of almost 70–80 %.Fig."
BM321B809084,PMC9709933,pH stability,8.0,8.0,KEEP,PH-C3;PH-C7,outcome_recovered;direction_set,82% residual after 3 h at pH 8.0.,About 97% residual activity of esterase enzyme was obtained at pH 6.0 after the incubation of 3 h and 82% activity was obtained after 3 h of incubation at pH 8.0 while 78% residual activity was observed after 1 h at pH 9.0 as shown in Fig.
BM34567040FA,PMC12898461,pH optimum,7.5,7.5,KEEP,PH-C1;PH-C5;PH-C6;PH-C7,optimum_corrected;enzyme_named;range_bounds_set;direction_set,"'Plp1-ET showed more than 50% relative activity between pH 7.5 and 8.5, with its highest activity at pH 8.0'. Recorded optimum 7.5 was the range low end; corrected to 8.0.","In contrast, Plp1-ET showed more than 50% relative activity between pH 7.5 and 8.5, with its highest activity at pH 8.0 (Figure 4B)."
BM355F56FDED,PMC10146132,pH stability,9.0,9.0,KEEP,PH-C3;PH-C5;PH-C7,outcome_recovered;enzyme_named;direction_set,'about 90% of the enzyme activity was retained when pH = 9.0'.,"When pH > 8.0, the enzyme activity began to decrease, but about 90% of the enzyme activity was retained when pH = 9.0."
BM37E9907878,PMC12188634,pH optimum,8.5,8.5,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,'optimum conditions for the PLA-degrading activity of Savinase ... pH 8.5 and 42 C'.,"The optimum conditions for the PLA-degrading activity of Savinase were determined to be pH 8.5 and 42 °C (Figure B,C)."
BM3A1A41F1DA,PMC13220297,pH stability,6.5,6.5,EXCLUDE,PH-X6,off_target_enzyme_class,"Invertase (beta-fructofuranosidase, a glycoside hydrolase) immobilised on a PHB carrier. The polymer is the support, not the substrate.","The enzyme immobilized on PHB demonstrated greater stability at pH values between 5.0 and 6.0, whereas at pH 4.5 and pH 6.5, it retained approximately 50% of its activity."
BM3A4FF0E21E,PMC9772341,salt effect,6.0,2.9,EXCLUDE,PH-X1;PH-X9,methods_or_protocol_sentence;measurement_type_unsupported,"value_std 2.9 '% relative activity' was parsed from '2.9% loading by mass of amorphous PET film' -- a substrate loading, not an activity. Unit misparse.","For enzymes with peak activity at pH 6.0, an extended pH screening assay was performed using 2.9% loading by mass of amorphous PET film (Goodfellow) and 10 µg enzyme of interest (0.7 mg enzyme/g PET enzyme loading) in polypropylene tubes containing 100 mM NaCl and 50 mM citrate (pH 5.5 and pH 5.0) or 50 mM sodium acetate (pH 5.0 and pH 4.5)."
BM4006C9D9B6,PMC10607177,pH optimum,7.0,7.0,KEEP,PH-C4;PH-C7,buffer_cleared;direction_set,"'depolymerase enzymes produced by two of our A. fumigatus isolates exhibited optimal activity at pH 7'. Two enzymes, one shared value. Buffer MES cleared.","Furthermore, depolymerase enzymes produced by two of our A. fumigatus isolates exhibited optimal activity at pH 7 and a temperature of 50 °C, while the depolymerase of the third Aspergillus strain demonstrated peak efficiency at pH 5 and a temperature of 40 °C."
BM435E17667D,PMC9104356,pH stability,7.0,7.0,KEEP,PH-C2;PH-C3;PH-C5;PH-C6;PH-C7,type_reclassified;outcome_recovered;enzyme_named;range_bounds_set;direction_set,"'At pH 7 and 9, BaAXE retained over 80% activity after incubating for 4 h'.","At pH 7 and 9, BaAXE retained over 80% activity after incubating the enzyme for 4 h (Figure 5)."
BM43A7E54ACA,PMC12896513,thermostability,7.0,40.0,EXCLUDE,PH-X1,methods_or_protocol_sentence,'The residual activity was then measured at 40 deg C in 50 mM sodium phosphate (pH 7.0)' is the assay readout condition. Recorded as thermostability = 40 deg C.,The residual activity was then measured at 40 °C in 50 mM sodium phosphate-buffered solution (pH 7.0).
BM4464247939,PMC10707221,pH optimum,8.5,8.5,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,'The lipase was found to be most active at pH 8.5'.,"The lipase was found to be most active at pH 8.5; its activity was greatly reduced when pH was lower than 6.5, and it exhibited very low (<5%) of the optimal activity at pH 10.0 (Figure 4A)."
BM44DA9B1565,PMC13050008,pH optimum,8.0,8.0,EXCLUDE,PH-X6;PH-X4,off_target_enzyme_class;ambiguous_multi_enzyme,"Ulvan lyase -- a polysaccharide lyase, not a carboxylester hydrolase. 'all three ulvan lyases' is also unattributable.","Regarding pH optimization, all three ulvan lyases displayed maximum activity at pH 8.0 in 50 mM Tris-HCl buffer, indicating a preference for slightly alkaline conditions (Fig."
BM47946FE1B3,PMC12428281,thermostability,3.0,4.0,EXCLUDE,PH-X9,measurement_type_unsupported,"4 deg C is the incubation temperature of a pH-stability experiment, recorded as a thermostability measurement of 4 deg C.","After incubation at 4 °C under different pH for 1 h, the activity of DehpH decreased significantly under acid conditions (pH 3.0 to 6.0), and DehpH almost lost all of its activity under pH 3.0, while DehpH retained more than 70.0% residual activity under pH 7.0 to 9.0 (Figure 4B)."
BM488F8758D1,PMC8265113,temperature optimum,5.0,55.0,EXCLUDE,PH-X6;PH-X1,off_target_enzyme_class;methods_or_protocol_sentence,"rXynS1 is a GH11 xylanase (glycoside hydrolase), off-target; and pH 5.0 is the assay pH ('assayed at pH 5.0'), not an optimum.","3a). rXynS1 showed optimal activity at 55 °C (assayed at pH 5.0), with the enzyme still displaying over 80% of its activity in the temperature range of 50–60 °C (Fig."
BM499AE86AAE,PMC11651597,pH stability,8.0,8.0,KEEP,PH-C2;PH-C3;PH-C5,type_reclassified;outcome_recovered;enzyme_named,"'retaining 93% of its activity at pH 6 and 82% at pH 8' is the activity-vs-pH profile, not the post-incubation stability profile. Reclassified to pH activity.","It maintained high activity levels, retaining 93% of its activity at pH 6 and 82% at pH 8."
BM49FA9E5B1A,PMC9606172,pH optimum,8.5,8.5,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,'AXE-HAS10's optimal activity was at pH 8.5 and 40 deg C.',Recombinant AXE-HAS10’s optimal activity was at pH 8.5 and 40 °C (Fig.
BM4E1ACC14B4,PMC10707221,pH stability,10.0,10.0,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,"'activity of SeLipC was abruptly decreased after incubation at pH 10.0, whereas it was stable when incubated at pH 5.0 to 9.5'. pH 10.0 is where stability is LOST -- without direction this row reads as if pH 10 were a stable point.","Results show that the activity of SeLipC was abruptly decreased after incubation at pH 10.0, whereas it was stable when incubated at pH values ranging from 5.0 to 9.5 (Figure 4A)."
BM4EE39ACAFC,PMC7936011,pH stability,7.0,7.0,EXCLUDE,PH-X1,methods_or_protocol_sentence,"'the pre-incubated solution was regulated to pH 7.0 ... and analyzed for residual activity' -- the readout pH of the stability assay, not a stability result.",Then the pre-incubated solution was regulated to pH 7.0 with 500 mM phosphate buffer and analyzed for the residual activity.
BM4FD5205F58,PMC12896513,pH stability,7.0,7.0,EXCLUDE,PH-X1,methods_or_protocol_sentence,"Same methods sentence, recorded as pH stability = 7.0. pH 7.0 is the readout buffer.",The residual activity was then measured at 40 °C in 50 mM sodium phosphate-buffered solution (pH 7.0).
BM501B8B50BC,PMC9104356,pH optimum,8.0,8.0,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,'BaAXE showed optimal activity at pH 8 and 40 deg C.',BaAXE showed optimal activity at pH 8 and 40 °C.
BM51F74D231E,PMC12734981,pH stability,9.0,9.0,KEEP,PH-C2;PH-C3;PH-C5,type_reclassified;outcome_recovered;enzyme_named,"'less than 15% residual activity at pH 9.0'. Deep re-read of the full paragraph shows this is a point on the activity-vs-pH profile ('The effect of pH on the catalytic activity ... was investigated in the pH range of 4.0-9.0'), not a post-incubation stability assay, so the type is pH activity. enzyme_name corrected CALB -> PanLipdN: the article characterises a CALB-LIKE enzyme, not CALB.","A rapid decline in activity was detected beyond pH 8.0, with less than 15% residual activity at pH 9.0."
BM5358038896,PMC9606172,pH stability,8.0,8.0,KEEP,PH-C2;PH-C3;PH-C5;PH-C6;PH-C7,type_reclassified;outcome_recovered;enzyme_named;range_bounds_set;direction_set,'100 and 100% of the enzyme activity could be retained after pre-incubation at pH 8.0 and 9.0 for 15 h'.,"However, 100 and 100% of the enzyme activity could be retained after pre-incubation of the enzyme at pH 8.0 and 9.0 for 15 h (Fig."
BM539CC031EB,PMC12871986,pH optimum,7.5,7.5,EXCLUDE,PH-X5,model_predicted_value,"'The MODEL PREDICTED maximum biodegradation at pH 7.5' -- an RSM optimisation output, and about whole-cell biodegradation rather than an enzyme. Shipping it would breach the benchmark's own no-predicted-values integrity statement.","The model predicted maximum biodegradation at pH 7.5, 1.25 g/L NH₄NO₃, and 0.55% PET-MP, achieving 11.15% efficiency compared to 6.09% under non-optimized conditions (pH 7.0, 1.0 g/L NH₄NO₃, 1.0% PET-MP)."
BM5B4789AA54,PMC8265113,pH optimum,5.0,5.0,EXCLUDE,PH-X6;PH-X1,off_target_enzyme_class;methods_or_protocol_sentence,Same GH11 xylanase article.,"3a). rXynS1 showed optimal activity at 55 °C (assayed at pH 5.0), with the enzyme still displaying over 80% of its activity in the temperature range of 50–60 °C (Fig."
BM5BBF965026,PMC7936011,pH optimum,7.0,7.0,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,'esterase Tan410 showed its highest activity at pH 7.0'.,"3, esterase Tan410 showed its highest activity at pH 7.0, and more than 95% of initial activity remained after 1 h pre-incubation in pH range of 4.5–10.0 (Fig."
BM5D7F089EA5,PMC12896513,pH stability,4.0,4.0,KEEP,PH-C3;PH-C5;PH-C7,outcome_recovered;enzyme_named;direction_set,"'residual activity of rEST-24 did not exceed 30%' across the pH values tested, of which 4.0 is one. Attributable to rEST-24; coarse upper bound only.","Moreover, assessment of pH stability during enzyme incubation at pH 4.0, 6.0, 7.0, 8.0 and 10.0 showed that the residual activity of rEST-24 did not exceed 30%, whereas rEST-28 retained over 80% of its esterase activity at pH values of >7.0."
BM60B9ABF4DB,PMC9709933,pH stability,4.0,4.0,KEEP,PH-C3;PH-C7,outcome_recovered;direction_set,74% residual after 1 h at pH 4.0.,The enzyme retained 74% activity at pH 4.0 and 55% activity at pH 11.0 after 1 h of incubation at room temperature.
BM60E20E768C,PMC12766730,pH stability,5.0,5.0,EXCLUDE,PH-X6,off_target_enzyme_class,"'half-life of quinone release ... at pH 5' -- self-immolative linker chemistry, no enzyme.",The half-life of quinone release was decreased from 101 ± 7 h for 4 to 1.86 ± 0.06 h for 25 at pH 5.
BM6A82469C45,PMC10495362,temperature optimum,6.0,60.0,EXCLUDE,PH-X7;PH-X3,secondhand_or_review;enzyme_attribution_mismatch,"Same secondhand sentence, temperature axis.","In their study, the PET46-like 211 released up to 85.23 mg L−1 aromatic products from crystalline PET powder at 60 °C and pH6 (optimal conditions)."
BM6CC5D054EB,PMC13323979,pH optimum,6.8,6.8,KEEP,PH-C7,direction_set,"'PS lipase and FM-10 lipase exhibited the best ... activity with optimal reaction conditions of T = 40-55 deg C and pH = 6.8'. Two lipases, one shared value.",The results revealed that PS lipase (PS) and FM-10 lipase (FM-10) exhibited the best catalytic and hydrolytic activity with optimal reaction conditions of T = 40-55 °C and pH = 6.8 (Supplementary Figs.
BM6E32E848BD,PMC10003648,temperature optimum,8.0,45.0,KEEP,PH-C4,buffer_cleared,Covariate row: temperature optimum 45-50 deg C at pH 8. Buffer MES cleared -- not in the evidence and outside its buffering range at pH 8.,The LIP3 and PhaZ enzymes were active in a pH range of 4.0 to 10.0 with optimal activity at pH 8 and 45–50 °C.
BM6E5147B1F9,PMC12898461,pH optimum,7.0,7.0,KEEP,PH-C1;PH-C3;PH-C5;PH-C6;PH-C7,optimum_corrected;outcome_recovered;enzyme_named;range_bounds_set;direction_set,"Recorded as enzyme_name 'Est1' with range 7.0-8.5, but 7.0-8.5 is Ces1-ET's range ('Ces1-ET exhibited more than 50% relative activity at pH between 7.0 and 8.5, reaching its optimal activity at approximately pH 7.5'). Est1-ET's own range is 7.0-9.0 with a maximum at pH 9.0. Re-attributed to Ces1-ET, optimum set to 7.5.","The pH dependency analysis of Ces1-ET exhibited more than 50% relative activity at pH between 7.0 and 8.5, reaching its optimal activity at approximately pH 7.5, Est1-ET revealed that the enzyme displays more than 50% relative activity within the pH range 7.0–9.0, with a maximum activity at pH 9.0."
BM71030D2A05,PMC11651597,pH stability,7.0,7.0,EXCLUDE,PH-X1,methods_or_protocol_sentence,"Normalisation sentence: 'activity at pH 7 was set as 100% ... for pH stability the activity without pre-incubation was set at 100%'. Defines the assay baseline, not a measured outcome. The optimum it implies is captured by the corrected BMDFDCB2C50A.","Specific lipase activity at pH 7 was set as 100% (321.2 U/mg) for optimum pH while for pH stability, the activity of lipase without pre-incubation (325.7 U/mg) was set at 100%."
BM73CD9BDECC,PMC11651597,pH stability,11.0,11.0,KEEP,PH-C3;PH-C5;PH-C7,outcome_recovered;enzyme_named;direction_set,'further decline to 22% at pH 11' -- residual activity after 1 h.,"However, exposure to pH 10 resulted in a marked decrease in activity, with only 51% residual activity observed after one h, and further decline to 22% at pH 11."
BM7D11018C05,PMC9839772,pH stability,8.0,8.0,EXCLUDE,PH-X1,methods_or_protocol_sentence,"'the enzyme was incubated in 1 mL of 100 mM KH2PO4 buffer (pH 8.0) at 50, 55, 60, 65 and 70 deg C ... followed by determining the residual activity' -- pH 8.0 is the buffer of a thermostability protocol.","Next, 0.4 mg of the enzyme was incubated in 1 mL of 100 mM KH2PO4 buffer (pH 8.0) at 50, 55, 60, 65 and 70 °C for 3, 6, 9, and 12 h, followed by determining the residual activity."
BM7E25455D3E,PMC12767561,pH optimum,5.5,5.5,KEEP,PH-C2;PH-C5;PH-C6,type_reclassified;enzyme_named;range_bounds_set,"'TflNylA was most active against pNPH between pH 5.5 and 8.5 and exhibited a bell-shaped pH-rate profile'. This is the >50%-activity interval, not a point optimum; the article does not state a single optimum in this sentence.",TflNylA was most active against pNPH (>0.02 μmol·min−1·mg−1) between pH 5.5 and 8.5 and exhibited a bell‐shaped pH‐rate profile (Figure S7).
BM7E8AC1F540,PMC10146132,pH stability,10.0,10.0,KEEP,PH-C3;PH-C5;PH-C7,outcome_recovered;enzyme_named;direction_set,"'When pH 10.0, less than 50% of the enzyme activity was retained'.","When pH 10.0, less than 50% of the enzyme activity was retained."
BM7EDDB0F663,PMC12896513,pH stability,7.0,7.0,EXCLUDE,PH-X1;PH-X10,methods_or_protocol_sentence;duplicate_measurement,Second copy of the same methods statement ('residual activity measured in 50 mM sodium phosphate buffer at pH 7.0'); duplicate of BM4FD5205F58 and equally unusable.,The residual activity was then measured in 50 mM sodium phosphate buffer at pH 7.0.
BM7F64B2576A,PMC11782994,pH optimum,8.0,8.0,KEEP,PH-C7,direction_set,'highest activity of 152.5 U/mg was found on 100 mM KPO pH 8 and 60 deg C'.,"The most suitable environment proved to be KPO, for which the highest activity of 152.5 U/mg was found on 100 mM KPO pH 8 and 60°C (Supplementary Figure S3, ESI)."
BM800815CC90,PMC13316681,pH stability,5.0,5.0,EXCLUDE,PH-X11;PH-X7;PH-X3,garbled_table_extraction;secondhand_or_review;enzyme_attribution_mismatch,Same garbled review table cell.,"BHET, MHET oligomers; feruloyl estersComparable PET powder hydrolysis to wild-type bacterial IsPETase and LCC; higher activity on BHET and MHET than on polymer70 °C/broad pH 5–8; thermostable at 60 °C for prolonged incubationUnique flexible lid domain (three α-helices, two anti-parallel β-strands) enhances substrate binding;"
BM837DB27EC1,PMC9805092,pH optimum,7.5,7.5,KEEP,PH-C7,direction_set,'enzymatic activity was optimal for all the chimeras at pH 7.5' -- several MHETase chimeras share the stated optimum.,"5A, enzymatic activity was optimal for all the chimeras at pH 7.5."
BM845CAE36B3,PMC11611003,pH optimum,7.0,7.0,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,"'at 30 deg C, pH 7.0 (BHET as substrate) ... SbPETase showed the highest activity'. The article also reports pH 8.0 on PET film; this row is the BHET optimum.","The optimum conditions showed that at 30°C, pH 7.0 (BHET as substrate) or pH 8.0 (PET film as substrate), SbPETase showed the highest activity (Fig."
BM85EC0EEFF2,PMC11270687,pH optimum,7.5,7.5,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,"REINSTATED by the deep re-read of the exclusions. Pass 1 dropped this under PH-X4 because the sentence 'The optimal activity was at pH 7.5 (Figure S3C)' carries no enzyme subject and the article characterises eight candidates. The full paragraph resolves it beyond doubt: 'Since PD3 possesses the best long-term stability, further characterization of PD3's esterase activity was performed ... Higher activities of PD3 were observed when using p-NPB and p-NPH at 42 deg C compared with 37 deg C (Figure S3B). The optimal activity was at pH 7.5 (Figure S3C).' Every sentence in the paragraph takes PD3 as its subject, and the figure panels run in sequence S3A-S3D on PD3. Attributed to PD3.",The optimal activity was at pH 7.5 (Figure S3C).
BM8A4F230105,PMC12960341,pH optimum,8.0,8.0,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,'CaFaeA exhibits maximal activity at pH 8.0'.,Further biochemical characterization using MFA as a model substrate revealed that CaFaeA exhibits maximal activity at pH 8.0 (Fig.
BM8D124B9FCE,PMC10418727,pH stability,8.0,8.0,KEEP,PH-C2;PH-C3;PH-C5,type_reclassified;outcome_recovered;enzyme_named,'only ~40% of its maximal activity was retained at pH 8.0' is a point on the activity-pH profile.,"EaEst2 showed its maximal activity at pH 7.0, whereas only ~40% of its maximal activity was retained at pH 8.0 (Figure 2C)."
BM94ACC9E0C2,PMC10003648,pH stability,8.0,8.0,KEEP,PH-C2;PH-C6;PH-C7,type_reclassified;range_bounds_set;direction_set,"'PhaZ showing higher relative activity at pH 8.0-10.0' -- a range, not a point.","LIP3 and PhaZ retained more than 50% of their activity over a pH range from 7.0 to 9.0, with PhaZ showing higher relative activity at pH 8.0–10.0."
BM95627C2801,PMC9452428,pH optimum,8.0,8.0,KEEP,PH-C5;PH-C7,enzyme_named;direction_set,"'The optimum pH for enzyme activity was realized at pH 8.0' -- EstRag, tier A.",The optimum pH for enzyme activity was realized at pH 8.0 (Fig.
BM961F2AE8B7,PMC10385968,temperature optimum,8.0,40.0,KEEP,PH-C5,enzyme_named,"Covariate row: temperature optimum 40 deg C restated in the kinetics sentence, assayed at pH 8.","By using the optimal conditions for its function, we analyzed the kinetics of EstD04 for the hydrolysis of C4 substrates at 40 °C and pH 8."
BM97AABCC81D,PMC9606172,temperature optimum,8.5,40.0,KEEP,PH-C5,enzyme_named,"Covariate row: temperature optimum 40 deg C, assayed at pH 8.5.",Recombinant AXE-HAS10’s optimal activity was at pH 8.5 and 40 °C (Fig.
BM9A302CF0A9,PMC10003648,pH optimum,8.0,8.0,KEEP,PH-C4;PH-C7,buffer_cleared;direction_set,"'LIP3 and PhaZ ... optimal activity at pH 8'. Both enzymes share the stated optimum, so attribution to PhaZ is safe but flagged. Buffer MES cleared.",The LIP3 and PhaZ enzymes were active in a pH range of 4.0 to 10.0 with optimal activity at pH 8 and 45–50 °C.
BM9DD54D4438,PMC10146679,thermostability,7.0,30.0,EXCLUDE,PH-X9,measurement_type_unsupported,"'activity increased from 30 deg C to 40 deg C' -- 30 is a profile boundary, not a thermostability value.","At pH 7.0, the activity of BbPETaseCD increased from 30 °C to 40 °C, and then decreased when the temperature increased to 50 °C, indicating the poor stability of BbPETaseCD at high temperature."
BM9F253201A6,PMC9709933,pH stability,7.0,7.0,KEEP,PH-C3;PH-C7,outcome_recovered;direction_set,~100% residual after 1 h at pH 7.0.,About 100% residual activity of esterase enzyme was attained after incubation of 1 h with pH 7.0 (Fig.
BM9F5746819C,PMC12188634,temperature optimum,8.5,42.0,KEEP,PH-C5,enzyme_named,Covariate row: temperature optimum 42 deg C at pH 8.5.,"The optimum conditions for the PLA-degrading activity of Savinase were determined to be pH 8.5 and 42 °C (Figure B,C)."
